tgl,ot,lat,lon,depth,mag,remark,strike1,dip1,rake1,strike2,dip2,rake2
2008/11/01,21:02:43.058,-9.18,119.06,10,4.9,Sumba Region - Indonesia,,,,,,
2008/11/01,20:58:50.248,-6.55,129.64,10,4.6,Banda Sea,,,,,,
2008/11/01,17:43:12.941,-7.01,106.63,121,3.7,Java - Indonesia,,,,,,
2008/11/01,16:24:14.755,-3.30,127.85,10,3.2,Seram - Indonesia,,,,,,
2008/11/01,16:20:37.327,-6.41,129.54,70,4.3,Banda Sea,,,,,,
2008/11/01,14:47:00.029,-7.37,105.31,18,3.3,Java - Indonesia,,,,,,
2008/11/01,13:04:38.742,0.10,98.55,12,4.7,Northern Sumatra - Indonesia,,,,,,
2008/11/01,10:23:51.646,-7.07,129.67,135,4.8,Banda Sea,,,,,,
2008/11/01,09:50:32.503,-3.32,128.02,10,2.3,Seram - Indonesia,,,,,,
2008/11/01,06:50:52.220,-4.43,127.45,10,3.2,Banda Sea,,,,,,
2008/11/01,06:42:18.915,-3.94,127.45,9,2.6,Seram - Indonesia,,,,,,
2008/11/01,06:23:00.287,-3.43,128.39,10,2.3,Seram - Indonesia,,,,,,
2008/11/01,06:01:05.398,-4.26,127.66,10,3.2,Banda Sea,,,,,,
2008/11/01,04:26:50.151,0.49,98.33,16,3.9,Northern Sumatra - Indonesia,,,,,,
2008/11/01,03:34:47.510,-3.89,128.24,10,2.2,Seram - Indonesia,,,,,,
2008/11/01,03:24:09.020,-3.76,127.38,10,2.9,Seram - Indonesia,,,,,,
2008/11/01,02:32:18.756,-4.09,128.20,10,2.4,Banda Sea,,,,,,
2008/11/01,02:20:05.909,-4.20,128.10,5,2.4,Banda Sea,,,,,,
2008/11/01,01:38:14.802,-3.65,127.99,5,3.5,Seram - Indonesia,,,,,,ian Jaya,,,,,,
2023/01/02,19:02:58.791,4.57,96.46,12,2.1,Northern Sumatra - Indonesia,,,,,,
2023/01/02,18:59:35.187,-2.88,128.50,16,2.4,Ceram Sea,,,,,,
2023/01/02,18:53:27.723,-2.30,140.78,10,2.8,Near North Coast of Irian Jaya,,,,,,
2023/01/02,18:42:08.773,3.18,127.36,23,3.5,Talaud Islands - Indonesia,,,,,,
2023/01/02,18:31:59.654,-2.41,140.78,10,1.8,Near North Coast of Irian Jaya,,,,,,
2023/01/02,18:23:10.830,-4.37,138.56,166,3.4,Irian Jaya - Indonesia,,,,,,
2023/01/02,18:21:18.398,-2.56,140.80,10,1.8,Near North Coast of Irian Jaya,,,,,,
2023/01/02,18:09:51.040,-8.75,118.72,10,2.3,Sumbawa Region - Indonesia,,,,,,
2023/01/02,18:06:59.053,-9.08,110.09,10,3.1,South of Java - Indonesia,,,,,,
2023/01/02,17:51:38.995,-8.48,118.18,127,2.5,Sumbawa Region - Indonesia,,,,,,
2023/01/02,17:51:37.680,-2.47,140.76,10,2.0,Near North Coast of Irian Jaya,,,,,,
2023/01/02,17:47:05.713,-5.09,103.82,63,2.7,Southern Sumatra - Indonesia,,,,,,
2023/01/02,17:38:23.540,-2.43,140.72,10,2.4,Near North Coast of Irian Jaya,,,,,,
2023/01/02,17:17:41.965,-2.21,140.90,10,2.4,Near North Coast of Irian Jaya,,,,,,
2023/01/02,16:58:44.781,1.25,122.72,11,2.9,Minahassa Peninsula - Sulawesi,,,,,,
2023/01/02,16:49:51.141,-8.65,112.61,101,4.1,Java - Indonesia,,,,,,
2023/01/02,16:35:55.613,-2.44,140.76,10,2.7,Near North Coast of Irian Jaya,,,,,,
2023/01/02,16:35:26.735,2.71,126.26,15,2.8,Northern Molucca Sea,,,,,,
2023/01/02,16:07:31.200,-7.23,125.33,493,4.7,Banda Sea,,,,,,
2023/01/02,15:59:21.110,-2.37,140.79,10,2.5,Near North Coast of Irian Jaya,,,,,,
2023/01/02,15:59:20.991,-8.88,111.96,107,2.9,Java - Indonesia,,,,,,
2023/01/02,15:42:34.136,-2.33,140.80,10,2.0,Near North Coast of Irian Jaya,,,,,,
2023/01/02,15:33:23.548,-6.80,107.11,10,1.7,Java - Indonesia,,,,,,
2023/01/02,15:30:40.778,5.43,96.99,10,2.3,Northern Sumatra - Indonesia,,,,,,
2023/01/02,15:29:01.994,-2.36,140.75,10,2.2,Near North Coast of Irian Jaya,,,,,,
2023/01/02,15:26:16.472,-2.36,140.79,10,2.0,Near North Coast of Irian Jaya,,,,,,
2023/01/02,15:17:08.028,-2.43,140.71,10,2.7,Near North Coast of Irian Jaya,,,,,,
2023/01/02,14:55:55.143,-2.43,140.78,10,2.2,Near North Coast of Irian Jaya,,,,,,
2023/01/02,14:47:18.335,-2.42,140.76,10,2.2,Near North Coast of Irian Jaya,,,,,,
2023/01/02,14:34:54.176,-2.42,140.77,10,1.7,Near North Coast of Irian Jaya,,,,,,
2023/01/02,14:29:47.245,-2.37,140.81,10,2.6,Near North Coast of Irian Jaya,,,,,,
2023/01/02,14:25:02.026,-2.35,140.80,10,3.6,Near North Coast of Irian Jaya,,,,,,
2023/01/02,14:24:15.461,-2.66,133.88,10,3.3,Irian Jaya Region - Indonesia,,,,,,
2023/01/02,14:20:02.644,0.45,121.21,79,3.1,Minahassa Peninsula - Sulawesi,,,,,,
2023/01/02,14:17:52.988,0.40,98.59,18,2.3,Northern Sumatra - Indonesia,,,,,,
2023/01/02,14:12:30.001,-9.10,115.46,60,2.7,South of Bali - Indonesia,,,,,,
2023/01/02,14:05:55.326,-3.91,129.50,41,2.5,Seram - Indonesia,,,,,,
2023/01/02,13:44:59.273,3.36,97.90,10,1.5,Northern Sumatra - Indonesia,,,,,,
2023/01/02,13:16:18.253,4.88,96.05,13,1.7,Northern Sumatra - Indonesia,,,,,,
2023/01/02,13:15:54.629,-2.44,140.73,10,2.1,Near North Coast of Irian Jaya,,,,,,
2023/01/02,12:59:35.132,-5.27,104.61,21,2.1,Southern Sumatra - Indonesia,,,,,,
2023/01/02,12:58:43.052,-10.36,113.43,10,3.8,South of Java - Indonesia,,,,,,
2023/01/02,12:13:52.823,-2.43,140.72,10,2.3,Near North Coast of Irian Jaya,,,,,,
2023/01/02,10:52:56.388,-2.37,140.79,10,2.8,Near North Coast of Irian Jaya,,,,,,
2023/01/02,10:42:39.921,-7.08,108.47,265,3.3,Java - Indonesia,,,,,,
2023/01/02,10:40:02.135,5.41,96.99,10,4.8,Northern Sumatra - Indonesia,154.6,78.8,-177.6,64.08,87.6,-11.2
2023/01/02,10:40:02.135,5.41,96.99,10,4.8,Northern Sumatra - Indonesia,,,,,,
2023/01/02,10:37:58.742,-2.35,140.81,10,2.8,Near North Coast of Irian Jaya,,,,,,
2023/01/02,10:33:28.831,-2.35,140.77,10,3.2,Near North Coast of Irian Jaya,,,,,,
2023/01/02,10:30:54.057,-7.79,107.30,26,3.8,Java - Indonesia,,,,,,
2023/01/02,10:27:11.056,-8.96,111.25,10,3.0,Java - Indonesia,,,,,,
2023/01/02,10:04:48.476,5.86,126.41,10,4.5,Mindanao - Philippines,,,,,,
2023/01/02,10:00:48.138,-2.46,140.78,10,2.5,Near North Coast of Irian Jaya,,,,,,
2023/01/02,09:35:05.292,-7.30,107.45,95,2.0,Java - Indonesia,,,,,,
2023/01/02,09:25:15.330,-2.28,140.78,10,2.9,Near North Coast of Irian Jaya,,,,,,
2023/01/02,09:20:33.518,-2.42,140.74,10,2.5,Near North Coast of Irian Jaya,,,,,,
2023/01/02,09:05:43.023,-3.18,130.50,10,3.0,Seram - Indonesia,,,,,,
2023/01/02,08:17:28.456,-2.22,140.80,10,2.8,Near North Coast of Irian Jaya,,,,,,
2023/01/02,07:55:11.766,-2.52,140.71,10,3.2,Near North Coast of Irian Jaya,,,,,,
2023/01/02,07:32:27.525,-2.44,140.75,10,2.5,Near North Coast
2008/11/20,11:46:52.707,5.91,99.74,255,5.9,Northern Sumatra - Indonesia,,,,,,
2008/11/20,00:42:31.880,-0.94,99.61,208,5.1,Southern Sumatra - Indonesia,,,,,,
2008/11/20,00:41:52.950,-1.27,106.97,10,5.7,Southern Sumatra - Indonesia,,,,,,
2008/11/21,15:37:35.945,-4.40,102.13,10,4.4,Southern Sumatra - Indonesia,,,,,,
2008/11/21,11:36:48.289,-2.18,119.50,10,4.6,Sulawesi - Indonesia,,,,,,
2008/11/21,09:14:11.782,-2.95,119.78,10,3.5,Sulawesi - Indonesia,,,,,,
2008/11/21,05:14:36.965,2.62,128.87,195,4.5,Halmahera - Indonesia,,,,,,
2008/11/21,04:55:54.442,0.13,123.73,129,4.9,Minahassa Peninsula - Sulawesi,,,,,,
2008/11/21,04:27:30.170,-1.59,109.79,10,5.2,Borneo,,,,,,
2008/11/22,22:05:56.978,-4.73,101.10,10,4.9,Southern Sumatra - Indonesia,,,,,,
2008/11/22,17:27:52.472,5.07,127.51,10,5.2,Philippine Islands Region,,,,,,
2008/11/22,16:53:04.861,-9.53,112.84,10,4.7,South of Java - Indonesia,,,,,,
2008/11/22,16:11:54.420,-4.17,101.43,10,6.2,Southern Sumatra - Indonesia,,,,,,
2008/11/22,16:01:00.895,-4.46,101.13,5,6.4,Southern Sumatra - Indonesia,,,,,,
2008/11/22,13:39:08.645,-2.47,100.81,10,4.2,Southern Sumatra - Indonesia,,,,,,
2008/11/23,08:01:24.185,2.29,124.73,650,5.1,Celebes Sea,,,,,,
2008/11/24,09:39:16.510,-5.00,115.99,551,4.9,Java Sea,,,,,,
2008/11/24,09:10:49.164,1.10,125.58,650,5.6,Northern Molucca Sea,,,,,,
2008/11/24,05:38:44.883,-0.46,133.40,10,4.9,Irian Jaya Region - Indonesia,,,,,,
2008/11/24,05:29:57.066,-0.43,133.36,10,4.9,Irian Jaya Region - Indonesia,,,,,,
2008/11/24,05:23:53.671,-0.43,133.40,10,4.8,Irian Jaya Region - Indonesia,,,,,,
2008/11/24,04:19:14.600,1.26,100.18,10,4.0,Northern Sumatra - Indonesia,,,,,,
2008/11/25,19:20:53.860,-7.12,129.51,128,4.7,Banda Sea,,,,,,
2008/11/25,17:58:46.945,-3.07,129.02,10,4.1,Seram - Indonesia,,,,,,
2008/11/25,14:12:08.517,-3.77,113.26,10,6.4,Borneo,,,,,,
2008/11/25,10:33:59.012,2.14,129.01,45,4.6,Halmahera - Indonesia,,,,,,
2008/11/25,07:01:11.300,-7.85,108.16,156,3.8,Java - Indonesia,,,,,,
2008/11/25,03:31:03.883,1.35,121.98,10,4.6,Minahassa Peninsula - Sulawesi,,,,,,
2008/11/26,23:26:42.389,5.29,129.27,10,5.2,East of Philippine Islands,,,,,,
2008/11/28,12:56:44.905,0.04,119.64,10,4.9,Minahassa Peninsula - Sulawesi,,,,,,
2008/11/28,08:50:46.779,-4.91,101.50,11,5.9,Southern Sumatra - Indonesia,,,,,,
2008/11/28,03:33:16.553,-4.47,126.38,10,6.0,Banda Sea,,,,,,
2008/11/29,23:10:21.440,1.05,128.37,10,4.5,Halmahera - Indonesia,,,,,,
2008/11/29,23:01:13.951,0.65,127.60,10,4.1,Halmahera - Indonesia,,,,,,
2008/11/29,16:24:15.420,-5.57,132.10,10,4.4,Aru Islands Region - Indonesia,,,,,,
2008/11/29,06:06:12.347,3.25,124.27,450,5.4,Celebes Sea,,,,,,
2008/11/29,02:52:58.271,-8.85,116.94,5,3.9,Sumbawa Region - Indonesia,,,,,,
2008/11/29,00:41:34.749,1.80,98.96,5,4.0,Northern Sumatra - Indonesia,,,,,,
2008/11/30,21:19:13.677,1.84,98.73,10,4.7,Northern Sumatra - Indonesia,,,,,,
2008/11/30,00:43:40.733,4.04,122.97,612,4.6,Celebes Sea,,,,,,